Payor Name,Corporate Name
CONOCOPHILLIPS COMPANY,CONOCOPHILLIPS
CONTANGO OIL & GAS COMPANY,CONTANGO OIL & GAS CO
CONTANGO OPERATORSINC,CONTANGO OIL & GAS CO
CONTANGO RESOURCES INC,CONTANGO OIL & GAS CO
CONTEX ENERGY COMPANY LLC,CONTEX ENERGY CO
CONTINENTAL OPERATING CO,CONTINENTAL RESOURCES INC
CONTINENTAL RESOURCESINC,CONTINENTAL RESOURCES INC
CORDERO MINING - NTEC,NAVAJO TRANSITIONAL ENERGY CO
CORONADO PETROLEUM CORPORATION,CORONADO COAL
COSO GEOTHERMAL POWER HOLDINGSLLC,ATLANTICA SUSTAINABLE INFRASTRUCTURE
COTEAU PROPERTIES,NORTH AMERICAN COAL CORP
COUNTRYMARK REFINING AND LOGISTICS LLC,COUNTRYMARK COOPERATIVE HOLDING CORP
COX OIL OFFSHORE LLC,COX OPERATING LLC
COX OPERATING LLC,COX OPERATING LLC
COYOTE CREEK MINING COMPANY LLC,COYOTE CREEK MINING COMPANY LLC
CP ENERGY LLC,CP ENERGY LLC
CPX PICEANCE HOLDINGS LLC,CPX PICEANCE HOLDINGS LLC
CRAIGHEAD T C,CRAIGHEAD T C
CRAWLEY PETROLEUM CORP,CRAWLEY PETROLEUM CORP
CRESCENT POINT ENERGY US CORP,CRESCENT POINT ENERGY CORP
CRESTONE PEAK RESOURCES OPERATING LLS,CIVITAS RESOURCES INC
CRIMSON RESOURCE MANAGEMENT,CRIMSON RESOURCE MANAGEMENT CORP
CROSS TIMBERS ENERGY LLC,CROSS TIMBERS ENERGY LLC
CROWHEART ENERGY LLC,CROWHEART ENERGY LLC
CROWN ENERGY COMPANY,CROWN ENERGY PARTNERS LLC
CROWN OIL & GASINC,CROWN OIL PARTNERS
CRUX1 LLC,CRUX1 LLC
CUB CREEK ENERGY LLC,CUB CREEK ENERGY LLC
CUMBERLAND OPERATING LLC,CUMBERLAND OPERATING LLC
D90 ENERGY LLC,D90 ENERGY LLC
DARRAH OIL COMPANYLLC,DARRAH
DAVENPORT NEWBERRY HOLDINGS LLC,DAVENPORT NEWBERRY HOLDINGS LLC
