period,calendar_year,fiscal_year,month,month_long,fiscal_month,period_date,location_name,fips_code,state,state_name,county,land_class,land_category,land_type,region_type,district_type,offshore_region,commodity,product,revenue,duplicate_no,row_number
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"","","","",Federal,Offshore,Federal - not tied to a location,"","","",Oil & Gas,"",9658983.76,0,111
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"","","","",Federal,Offshore,Federal - not tied to a location,"","","",Gas,"",265565366.83,0,112
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"","","","",Federal,Offshore,Federal - not tied to a location,"","","",NGL,"",30621581.2,0,113
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"","","","",Federal,Offshore,Federal - not tied to a location,"","","",Oil,"",381612118.46,0,114
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"","","","",Federal,Offshore,Federal - not tied to a location,"","","",Other Products,"",12012.63,0,115
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Coal,"",2000,0,116
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Oil & Gas,"",27609244.5,0,117
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Potassium,"",787103.75,0,118
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"",Not tied to a location,"","",Federal,Onshore,Federal Onshore,"","","",Coal,"",-8228.32,0,119
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"",Not tied to a location,"","",Federal,Onshore,Federal Onshore,"","","",Garnet,"",240,0,120
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"",Not tied to a location,"","",Federal,Onshore,Federal Onshore,"","","",Gas,"",3477.83,0,121
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"",Not tied to a location,"","",Federal,Onshore,Federal Onshore,"","","",Geothermal,"",2888.96,0,122
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"",Not tied to a location,"","",Federal,Onshore,Federal Onshore,"","","",Gilsonite,"",3901.72,0,123
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"",Not tied to a location,"","",Federal,Onshore,Federal Onshore,"","","",Hardrock,"",20406,0,124
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"",Not tied to a location,"","",Federal,Onshore,Federal Onshore,"","","",Oil & Gas,"",8176401.81,0,125
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"",Not tied to a location,"","",Federal,Onshore,Federal Onshore,"","","",Phosphate,"",7093,0,126
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"",Not tied to a location,"","",Federal,Onshore,Federal Onshore,"","","",Potassium,"",10327.3,0,127
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"",Not tied to a location,"","",Federal,Onshore,Federal Onshore,"","","",Sodium,"",20209.15,0,128
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Coal,"",147292.51,0,129
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Garnet,"",80,0,130
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Geothermal,"",21014,0,131
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Gilsonite,"",638,0,132
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Hardrock,"",7161,0,133
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Oil & Gas,"",3546287.21,0,134
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Phosphate,"",3039,0,135
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Potassium,"",-1409.75,0,136
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Sodium,"",-6163.93,0,137
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Coal,"",57453065.68,0,138
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Gas,"",174196278.7,0,139
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",NGL,"",15348955.92,0,140
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Oil,"",74699951.15,0,141
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"","","","",Federal,Onshore,Federal - not tied to a location,"","","",Other Products,"",8863040.73,0,142
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"","","","",Federal,"",Federal - not tied to a location,"","","",Not tied to a commodity,"",433677,0,143
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"",Not tied to a location,"","",Federal,"",Federal - not tied to a location,"","","",Not tied to a commodity,"",-167927.92,0,144
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Gas,"",1537.38,0,145
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",NGL,"",2182.57,0,146
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Oil,"",-18070.2,0,147
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Oil & Gas,"",515875.15,0,148
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Sand & Gravel,"",1666.67,0,149
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Copper,"",16720,0,150
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Gypsum,"",15,0,151
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Oil & Gas,"",108995.99,0,152
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Sand & Gravel,"",541.66,0,153
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Coal,"",5303145.47,0,154
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Gas,"",21762074.07,0,155
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",NGL,"",632380.77,0,156
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Oil,"",10159025.24,0,157
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"","","","",Native American,Onshore,Native American,"","","",Other Products,"",316749.67,0,158
Monthly,2008,2008,3,March,6,2008-03-01,Not tied to a location,"","","","",Native American,"",Native American,"","","",Not tied to a commodity,"",30750.65,0,159
Monthly,2008,2008,4,April,7,2008-04-01,Not tied to a location,"","","","",Federal,Offshore,Federal - not tied to a location,"","","",Oil & Gas,"",562220074,0,160
