Date,Calendar Year,Corporate Name,Revenue Agency Type,Revenue Agency,Revenue Type,Commodity,Revenue
01/01/2018,2018,CONTANGO OIL & GAS CO,ONRR - Royalties,ONRR,Royalties,Gas,6706255.97
01/01/2018,2018,CONTINENTAL RESOURCES INC,ONRR - Royalties,ONRR,Royalties,Gas,9575281.70
01/01/2018,2018,COVEY PARK ENERGY LLC,ONRR - Royalties,ONRR,Royalties,Gas,708241.21
01/01/2018,2018,COX OPERATING LLC,ONRR - Royalties,ONRR,Royalties,Gas,28315192.28
01/01/2018,2018,CRESCENT POINT ENERGY CORP,ONRR - Royalties,ONRR,Royalties,Gas,60246.90
01/01/2018,2018,CRESTONE PEAK RESOURCES OPERATING LLS,ONRR - Royalties,ONRR,Royalties,Gas,134800.65
01/01/2018,2018,CROSS TIMBERS ENERGY LLC,ONRR - Royalties,ONRR,Royalties,Gas,2756427.41
01/01/2018,2018,CONTANGO OIL & GAS CO,ONRR - Inspection Fees,ONRR,Inspection Fees,Oil & Gas,112500.00
01/01/2018,2018,CONTANGO OIL & GAS CO,ONRR - Other Revenues,ONRR,Other Revenues,Oil & Gas,18514.88
01/01/2018,2018,CONTANGO OIL & GAS CO,ONRR/BLM - Rents,ONRR/BLM,Rents,Oil & Gas,16053.02
01/01/2018,2018,CONTEX ENERGY CO,BLM - Permit Fees,BLM,Permit Fees,Oil & Gas,575.00
01/01/2018,2018,CONTEX ENERGY CO,ONRR/BLM - Bonus,ONRR/BLM,Bonus,Oil & Gas,424580.00
01/01/2018,2018,CONTEX ENERGY CO,ONRR/BLM - Rents,ONRR/BLM,Rents,Oil & Gas,25258.25
01/01/2018,2018,CONTINENTAL RESOURCES INC,BLM - Permit Fees,BLM,Permit Fees,Oil & Gas,722275.00
01/01/2018,2018,CONTINENTAL RESOURCES INC,ONRR - Other Revenues,ONRR,Other Revenues,Oil & Gas,612592.11
01/01/2018,2018,CONTINENTAL RESOURCES INC,ONRR/BLM - Rents,ONRR/BLM,Rents,Oil & Gas,80648.00
01/01/2018,2018,COVEY PARK ENERGY LLC,ONRR - Other Revenues,ONRR,Other Revenues,Oil & Gas,166995.52
01/01/2018,2018,CONTURA ENERGY INC,OSMRE - AML Fees including Audits and Late Charges ,OSMRE,AML Fees including Audits and Late Charges ,Coal,2492543.27
01/01/2018,2018,CORONADO COAL,OSMRE - AML Fees including Audits and Late Charges ,OSMRE,AML Fees including Audits and Late Charges ,Coal,498403.18
01/01/2018,2018,CRYSTAL PEAK MINERALS INC,ONRR - Other Revenues,ONRR,Other Revenues,Phosphate,287457.00
01/01/2018,2018,CYRQ ENERGY INC,ONRR - Other Revenues,ONRR,Other Revenues,Geothermal,132954.00
