Date,Fund Type,Local Recipient,Recipient,Source,Land Category,State,County,FIPS Code,Revenue Type,Disbursement
10/01/2018,State,State,State and local governments,Onshore,Onshore,South Carolina,"","",Rents & Bonuses,0
10/01/2018,State,State,State and local governments,Onshore,Onshore,Florida,"","",Sequestration,24974.08
10/01/2018,State,County,State and local governments,Onshore,Onshore,California,Siskiyou,"06093",Sequestration,211.2
10/01/2018,State,State,State and local governments,8(g) offshore,Offshore,California,"","",Royalties,5713.15
10/01/2018,State,State,State and local governments,8(g) offshore,Offshore,California,"","",Royalties,2.34
10/01/2018,State,State,State and local governments,8(g) offshore,Offshore,California,"","",Royalties,160016.53
10/01/2018,State,State,State and local governments,Onshore,Onshore,Florida,"","",Royalties,-1849.84
10/01/2018,State,State,State and local governments,Onshore,Onshore,Florida,"","",Royalties,92491.75
10/01/2018,State,State,State and local governments,Onshore,Onshore,Colorado,"","",Sequestration,6892039.15
10/01/2018,State,State,State and local governments,Onshore,Onshore,Colorado,"","",Royalties,-199374.65
10/01/2018,State,State,State and local governments,Onshore,Onshore,Colorado,"","",Other Distributions,6130.78
10/01/2018,State,State,State and local governments,Onshore,Onshore,Colorado,"","",Royalties,1458419.26
10/01/2018,State,State,State and local governments,Onshore,Onshore,Colorado,"","",Other Distributions,3297.84
10/01/2018,State,State,State and local governments,Onshore,Onshore,Colorado,"","",Rents & Bonuses,13192.50
10/01/2018,State,State,State and local governments,Onshore,Onshore,Colorado,"","",Royalties,1691734.05
10/01/2018,State,State,State and local governments,Onshore,Onshore,Colorado,"","",Royalties,2070287.31
10/01/2018,State,State,State and local governments,Onshore,Onshore,Colorado,"","",Other Distributions,488457.13
10/01/2018,State,State,State and local governments,Onshore,Onshore,Colorado,"","",Rents & Bonuses,39817.05
10/01/2018,State,State,State and local governments,Onshore,Onshore,Colorado,"","",Royalties,50390.20
10/01/2018,State,State,State and local governments,Onshore,Onshore,Colorado,"","",Royalties,4142686.82
10/01/2018,State,State,State and local governments,Onshore,Onshore,Colorado,"","",Rents & Bonuses,12531.00
10/01/2018,State,County,State and local governments,Onshore,Onshore,Nevada,Pershing,"32027",Sequestration,2288.64
10/01/2018,State,County,State and local governments,Onshore,Onshore,Nevada,Pershing,"32027",Royalties,60.58
10/01/2018,State,County,State and local governments,Onshore,Onshore,Nevada,Humboldt,"32013",Royalties,7946.71
10/01/2018,State,State,State and local governments,Onshore,Onshore,Ohio,"","",Royalties,21849.21
10/01/2018,State,State,State and local governments,Onshore,Onshore,Ohio,"","",Rents & Bonuses,38.63
10/01/2018,State,State,State and local governments,Onshore,Onshore,Ohio,"","",Other Distributions,1752.55
10/01/2018,State,State,State and local governments,Onshore,Onshore,Ohio,"","",Royalties,2813.44
10/01/2018,State,State,State and local governments,Onshore,Onshore,Ohio,"","",Royalties,-13.07
10/01/2018,State,State,State and local governments,Onshore,Onshore,Ohio,"","",Sequestration,-1518.63
10/01/2018,State,State,State and local governments,8(g) offshore,Offshore,Massachusetts,"","",Rents & Bonuses,23835.06
10/01/2018,Bureau of Safety & Environmental Enforcement,"",Other funds,Offshore,Offshore,"","","",Other Distributions,2522482.08
10/01/2018,Bureau of Ocean Energy Management,"",Other funds,Offshore,Offshore,"","","",Rents & Bonuses,139795.17
10/01/2018,U.S. Treasury,U.S. Treasury,U.S. Treasury,Offshore,Offshore,"","","",Other Distributions,31482.03
10/01/2018,Bureau of Safety & Environmental Enforcement,"",Other funds,Offshore,Offshore,"","","",Rents & Bonuses,-139795.17
10/01/2018,U.S. Treasury,U.S. Treasury,U.S. Treasury,Offshore,Offshore,"","","",Royalties,400787046.67
10/01/2018,U.S. Treasury,U.S. Treasury,U.S. Treasury,GOMESA offshore,Offshore,"","","",Royalties,21641696.61
10/01/2018,U.S. Treasury,U.S. Treasury,U.S. Treasury,Offshore,Offshore,"","","",Other Distributions,-462250.93
10/01/2018,Land & Water Conservation Fund,Land and Water Conservation Fund,Land and Water Conservation Fund,GOMESA offshore,Offshore,"","","",Royalties,5410423.74
10/01/2018,U.S. Treasury,U.S. Treasury,U.S. Treasury,Offshore,Offshore,"","","",Rents & Bonuses,638692.94
10/01/2018,U.S. Treasury,U.S. Treasury,U.S. Treasury,GOMESA offshore,Offshore,"","","",Rents & Bonuses,838694.02
10/01/2018,U.S. Treasury,U.S. Treasury,U.S. Treasury,Offshore,Offshore,"","","",Royalties,86.3
10/01/2018,Bureau of Ocean Energy Management,"",Other funds,Offshore,Offshore,"","","",Rents & Bonuses,2901671.58
10/01/2018,U.S. Treasury,U.S. Treasury,U.S. Treasury,GOMESA offshore,Offshore,"","","",Royalties,-1481008.49
10/01/2018,Land & Water Conservation Fund,Land and Water Conservation Fund,Land and Water Conservation Fund,GOMESA offshore,Offshore,"","","",Rents & Bonuses,213919.75
10/01/2018,U.S. Treasury,U.S. Treasury,U.S. Treasury,Offshore,Offshore,"","","",Other Distributions,-602123.68
10/01/2018,State,State,State and local governments,Onshore,Onshore,Montana,"","",Royalties,52324.17
10/01/2018,State,State,State and local governments,Onshore,Onshore,Montana,"","",Rents & Bonuses,-3491.62
10/01/2018,State,State,State and local governments,Onshore,Onshore,Montana,"","",Other Distributions,14129.96
10/01/2018,State,State,State and local governments,Onshore,Onshore,Montana,"","",Royalties,94.79
10/01/2018,State,State,State and local governments,Onshore,Onshore,Montana,"","",Royalties,721796.70
10/01/2018,State,State,State and local governments,Onshore,Onshore,Montana,"","",Rents & Bonuses,3553.50
10/01/2018,State,State,State and local governments,Onshore,Onshore,Montana,"","",Royalties,1250712.48
10/01/2018,State,State,State and local governments,Onshore,Onshore,Montana,"","",Other Distributions,101.74
10/01/2018,State,State,State and local governments,Onshore,Onshore,Montana,"","",Royalties,-40782.40
10/01/2018,State,State,State and local governments,Onshore,Onshore,Montana,"","",Sequestration,1573160.87
10/01/2018,State,State,State and local governments,Onshore,Onshore,New Mexico,"","",Sequestration,38837090.71
10/01/2018,State,State,State and local governments,Onshore,Onshore,New Mexico,"","",Royalties,-1241451.38
10/01/2018,State,State,State and local governments,Onshore,Onshore,New Mexico,"","",Other Distributions,30862.90
10/01/2018,State,County,State and local governments,Onshore,Onshore,Nevada,Churchill,"32001",Sequestration,35464.72
10/01/2018,State,County,State and local governments,Onshore,Onshore,Nevada,Churchill,"32001",Royalties,117822.30
10/01/2018,State,County,State and local governments,Onshore,Onshore,Nevada,Churchill,"32001",Other Distributions,1920.00
10/01/2018,State,County,State and local governments,Onshore,Onshore,Nevada,Churchill,"32001",Rents & Bonuses,29032.92
10/01/2018,State,State,State and local governments,Onshore,Onshore,Texas,"","",Royalties,429117.33
10/01/2018,State,State,State and local governments,Onshore,Onshore,Texas,"","",Rents & Bonuses,511.25
10/01/2018,State,State,State and local governments,Onshore,Onshore,Texas,"","",Other Distributions,-219775.44
10/01/2018,State,State,State and local governments,Onshore,Onshore,Texas,"","",Royalties,249.4
10/01/2018,State,State,State and local governments,Onshore,Onshore,Texas,"","",Royalties,8281.91
10/01/2018,State,State,State and local governments,Onshore,Onshore,Texas,"","",Other Distributions,37.89
10/01/2018,State,State,State and local governments,Onshore,Onshore,Texas,"","",Royalties,-731.3
10/01/2018,State,State,State and local governments,Onshore,Onshore,Texas,"","",Sequestration,20998.56
10/01/2018,State,State,State and local governments,8(g) offshore,Offshore,Louisiana,"","",Royalties,-124665.00
10/01/2018,State,State,State and local governments,8(g) offshore,Offshore,Louisiana,"","",Other Distributions,-759.07
10/01/2018,State,State,State and local governments,8(g) offshore,Offshore,Louisiana,"","",Royalties,265709.83
10/01/2018,State,State,State and local governments,8(g) offshore,Offshore,Louisiana,"","",Other Distributions,-31618.97
10/01/2018,State,State,State and local governments,Onshore,Onshore,New Mexico,"","",Royalties,385361.79
10/01/2018,State,State,State and local governments,Onshore,Onshore,New Mexico,"","",Other Distributions,1503.53
10/01/2018,State,State,State and local governments,Onshore,Onshore,New Mexico,"","",Royalties,41358277.19
10/01/2018,State,State,State and local governments,Onshore,Onshore,New Mexico,"","",Royalties,54546.19
10/01/2018,State,State,State and local governments,Onshore,Onshore,New Mexico,"","",Other Distributions,3029311.22
10/01/2018,State,State,State and local governments,Onshore,Onshore,New Mexico,"","",Rents & Bonuses,35258.60
10/01/2018,State,State,State and local governments,Onshore,Onshore,New Mexico,"","",Royalties,413549.04
10/01/2018,State,State,State and local governments,Onshore,Onshore,New Mexico,"","",Royalties,36799.06
