Fiscal Year,Fund Type,Source,State,Disbursement
1989,State and local governments,Offshore,Florida,"$296,309.00 "
1989,State and local governments,Onshore,Florida,"$185,880.00 "
1989,State and local governments,Onshore,Idaho,"$1,934,943.00 "
1989,State and local governments,Onshore,Kansas,"$829,757.00 "
1989,State and local governments,Offshore,Louisiana,"$12,749,220.00 "
1989,State and local governments,Onshore,Louisiana,"$451,656.00 "
1989,State and local governments,Onshore,Michigan,"$667,607.00 "
1989,State and local governments,Offshore,Mississippi,"$79,579.00 "
1989,State and local governments,Onshore,Mississippi,"$74,245.00 "
1989,State and local governments,Onshore,Montana,"$19,958,485.00 "
1989,State and local governments,Onshore,Nebraska,"$114,511.00 "
1989,State and local governments,Onshore,Nevada,"$9,287,164.00 "
1989,State and local governments,Onshore,New Mexico,"$88,306,381.00 "
1989,State and local governments,Onshore,North Dakota,"$4,985,256.00 "
1989,State and local governments,Onshore,Ohio,"$4,663.00 "
1989,State and local governments,Onshore,Oklahoma,"$1,911,888.00 "
1989,State and local governments,Onshore,Oregon,"$290,740.00 "
1989,State and local governments,Onshore,South Dakota,"$669,334.00 "
1989,State and local governments,Offshore,Texas,"$17,836,464.00 "
1989,State and local governments,Onshore,Texas,"$5,321.00 "
1989,State and local governments,Onshore,Utah,"$53,035,434.00 "
1989,State and local governments,Onshore,Virginia,"$20,069.00 "
1989,State and local governments,Onshore,Washington,"$208,111.00 "
1989,State and local governments,Onshore,Wisconsin,$473.00 
1989,State and local governments,Onshore,Wyoming,"$175,786,062.00 "
1989,U.S. Treasury & Other Government Agencies,,,"$2,006,837,000.00 "
1990,Historic Preservation Fund,Offshore,,"$150,000,000.00 "
1990,Land and Water Conservation Fund,Offshore,,"$843,765,000.00 "
1990,Native American tribes and individuals,Onshore,,"$141,086,000.00 "
1990,Reclamation Fund,Onshore,,"$353,708,000.00 "
1990,State and local governments,Offshore,Alabama,"$477,212.00 "
1990,State and local governments,Onshore,Alabama,"$991,083.00 "
1990,State and local governments,Offshore,Alaska,"$4,402,935.00 "
1990,State and local governments,Onshore,Alaska,"$8,048,682.00 "
1990,State and local governments,Onshore,Arizona,"$174,140.00 "
1990,State and local governments,Onshore,Arkansas,"$875,834.00 "
1990,State and local governments,Offshore,California,"$11,424,932.00 "
1990,State and local governments,Onshore,California,"$28,582,391.00 "
1990,State and local governments,Onshore,Colorado,"$36,356,433.00 "
1990,State and local governments,Offshore,Florida,"$1,980,402.00 "
1990,State and local governments,Onshore,Florida,"$56,452.00 "
1990,State and local governments,Onshore,Idaho,"$1,968,685.00 "
1990,State and local governments,Onshore,Kansas,"$1,226,367.00 "
1990,State and local governments,Offshore,Louisiana,"$14,759,941.00 "
1990,State and local governments,Onshore,Louisiana,"$542,785.00 "
1990,State and local governments,Onshore,Michigan,"$724,626.00 "
1990,State and local governments,Offshore,Mississippi,"$106,728.00 "
1990,State and local governments,Onshore,Mississippi,"$86,158.00 "
1990,State and local governments,Onshore,Montana,"$20,318,356.00 "
1990,State and local governments,Onshore,Nebraska,"$126,804.00 "
1990,State and local governments,Onshore,Nevada,"$9,282,673.00 "
1990,State and local governments,Onshore,New Mexico,"$100,120,473.00 "
1990,State and local governments,Onshore,North Dakota,"$5,065,820.00 "
1990,State and local governments,Onshore,Ohio,"$13,121.00 "
1990,State and local governments,Onshore,Oklahoma,"$1,817,605.00 "
1990,State and local governments,Onshore,Oregon,"$371,457.00 "
1990,State and local governments,Onshore,South Dakota,"$695,227.00 "
1990,State and local governments,Offshore,Texas,"$15,871,425.00 "
1990,State and local governments,Onshore,Texas,"$113,625.00 "
1990,State and local governments,Onshore,Utah,"$33,304,021.00 "
1990,State and local governments,Onshore,Virginia,"$20,069.00 "
1990,State and local governments,Onshore,Washington,"$154,736.00 "
1990,State and local governments,Onshore,Wisconsin,$473.00 
1990,State and local governments,Onshore,Wyoming,"$201,150,670.00 "
1990,U.S. Treasury & Other Government Agencies,,,"$2,102,576,000.00 "
1991,Historic Preservation Fund,Offshore,,"$150,000,000.00 "
1991,Land and Water Conservation Fund,Offshore,,"$885,000,000.00 "
1991,Native American tribes and individuals,Onshore,,"$164,310,000.00 "
1991,Reclamation Fund,Onshore,,"$368,474,000.00 "
1991,State and local governments,Offshore,Alabama,"$326,706.00 "
1991,State and local governments,Onshore,Alabama,"$129,458.00 "
1991,State and local governments,Offshore,Alaska,"$4,678,515.00 "
1991,State and local governments,Onshore,Alaska,"$9,953,287.00 "
1991,State and local governments,Onshore,Arizona,"$173,027.00 "
1991,State and local governments,Onshore,Arkansas,"$2,109,425.00 "
1991,State and local governments,Offshore,California,"$11,224,184.00 "
