Calendar Year,Land Category,State,Offshore Region,Revenue Type,Commodity,Revenue
1985,Onshore,Colorado,,Royalty,Coal,"$14,727,801.00 "
1985,Onshore,Colorado,,Royalty,Gas,"$19,986,808.00 "
1985,Onshore,Colorado,,Royalty,Oil,"$35,814,976.00 "
1985,Onshore,Colorado,,Royalty,Other,"$13,273,199.00 "
1985,Onshore,Florida,,Other Revenues,,$65.00 
1985,Onshore,Florida,,Rent,,"$554,437.00 "
1985,Onshore,Florida,,Royalty,Other,"$206,482.00 "
1985,Onshore,Georgia,,Rent,,"$99,591.00 "
1985,Onshore,Idaho,,Other Revenues,,"$34,923.00 "
1985,Onshore,Idaho,,Rent,,"$3,558,084.00 "
1985,Onshore,Idaho,,Royalty,Other,"$3,973,407.00 "
1985,Onshore,Illinois,,Other Revenues,,$549.00 
1985,Onshore,Illinois,,Rent,,"$4,873.00 "
1985,Onshore,Illinois,,Royalty,Other,"$62,222.00 "
1985,Onshore,Indiana,,Rent,,$401.00 
1985,Onshore,Kansas,,Bonus,,"$862,640.00 "
1985,Onshore,Kansas,,Other Revenues,,"($17,838.00)"
1985,Onshore,Kansas,,Rent,,"$80,133.00 "
1985,Onshore,Kansas,,Royalty,Gas,"$1,098,029.00 "
1985,Onshore,Kansas,,Royalty,Oil,"$820,524.00 "
1985,Onshore,Kansas,,Royalty,Other,"$32,141.00 "
1985,Onshore,Kentucky,,Bonus,,$465.00 
1985,Onshore,Kentucky,,Other Revenues,,"$1,171.00 "
1985,Onshore,Kentucky,,Rent,,"$54,764.00 "
1985,Onshore,Kentucky,,Royalty,Gas,"$139,061.00 "
1985,Onshore,Kentucky,,Royalty,Oil,"$17,455.00 "
1985,Onshore,Louisiana,,Bonus,,"$203,093.00 "
1985,Onshore,Louisiana,,Other Revenues,,"$2,131.00 "
1985,Onshore,Louisiana,,Rent,,"$266,625.00 "
1985,Onshore,Louisiana,,Royalty,Gas,"$1,962,708.00 "
