Date,Land Class,Land Category,Commodity,Volume
08/01/2005,Native American,Onshore,Gas Prod Vol (mcf),29548704
08/01/2005,Native American,Onshore,Oil Prod Vol (bbl),995612
08/01/2005,Native American,Onshore,Coal Prod Vol (tons),3052907
08/01/2005,Federal,Offshore,Gas Prod Vol (mcf),283967403
08/01/2005,Federal,Offshore,Oil Prod Vol (bbl),44524053
08/01/2005,Federal,Onshore,Oil Prod Vol (bbl),7919273
09/01/2005,Federal,Offshore,Oil Prod Vol (bbl),16481368
09/01/2005,Native American,Onshore,Oil Prod Vol (bbl),952348
09/01/2005,Federal,Onshore,Gas Prod Vol (mcf),270989280
09/01/2005,Native American,Onshore,Gas Prod Vol (mcf),28504997
09/01/2005,Federal,Onshore,Coal Prod Vol (tons),36881647
09/01/2005,Federal,Offshore,Gas Prod Vol (mcf),146226107
09/01/2005,Native American,Onshore,Coal Prod Vol (tons),3117008
09/01/2005,Federal,Onshore,Oil Prod Vol (bbl),7694881
10/01/2005,Native American,Onshore,Coal Prod Vol (tons),2825164
10/01/2005,Native American,Onshore,Oil Prod Vol (bbl),984379
10/01/2005,Native American,Onshore,Gas Prod Vol (mcf),29725929
10/01/2005,Federal,Offshore,Gas Prod Vol (mcf),142680305
10/01/2005,Federal,Offshore,Oil Prod Vol (bbl),23993307
10/01/2005,Federal,Onshore,Gas Prod Vol (mcf),283991497
10/01/2005,Federal,Onshore,Oil Prod Vol (bbl),8104846
10/01/2005,Federal,Onshore,Coal Prod Vol (tons),34115112
11/01/2005,Federal,Onshore,Coal Prod Vol (tons),35522134
11/01/2005,Federal,Onshore,Oil Prod Vol (bbl),7842979
11/01/2005,Federal,Onshore,Gas Prod Vol (mcf),281671598
11/01/2005,Federal,Offshore,Oil Prod Vol (bbl),31052033
11/01/2005,Federal,Offshore,Gas Prod Vol (mcf),203466670
11/01/2005,Native American,Onshore,Coal Prod Vol (tons),2577174
11/01/2005,Native American,Onshore,Oil Prod Vol (bbl),931123
11/01/2005,Native American,Onshore,Gas Prod Vol (mcf),28253048
12/01/2005,Native American,Onshore,Coal Prod Vol (tons),2227485
12/01/2005,Federal,Onshore,Oil Prod Vol (bbl),8035965
12/01/2005,Federal,Onshore,Gas Prod Vol (mcf),285577433
12/01/2005,Federal,Onshore,Coal Prod Vol (tons),34338379
12/01/2005,Native American,Onshore,Gas Prod Vol (mcf),28213269
12/01/2005,Federal,Offshore,Gas Prod Vol (mcf),240539880
12/01/2005,Federal,Offshore,Oil Prod Vol (bbl),37564683
12/01/2005,Native American,Onshore,Oil Prod Vol (bbl),947212
01/01/2006,Native American,Onshore,Coal Prod Vol (tons),2637932
01/01/2006,Federal,Offshore,Gas Prod Vol (mcf),251000886
01/01/2006,Federal,Offshore,Oil Prod Vol (bbl),39349076
01/01/2006,Native American,Onshore,Oil Prod Vol (bbl),909538
01/01/2006,Federal,Onshore,Oil Prod Vol (bbl),8054190
01/01/2006,Native American,Onshore,Gas Prod Vol (mcf),28086652
01/01/2006,Federal,Onshore,Coal Prod Vol (tons),36482915
01/01/2006,Federal,Onshore,Gas Prod Vol (mcf),292241550
02/01/2006,Federal,Onshore,Gas Prod Vol (mcf),263474643
02/01/2006,Federal,Offshore,Gas Prod Vol (mcf),221445869
02/01/2006,Federal,Offshore,Oil Prod Vol (bbl),34948509
02/01/2006,Native American,Onshore,Coal Prod Vol (tons),2265006
02/01/2006,Native American,Onshore,Oil Prod Vol (bbl),808495
02/01/2006,Native American,Onshore,Gas Prod Vol (mcf),25757935
02/01/2006,Federal,Onshore,Coal Prod Vol (tons),32452852
02/01/2006,Federal,Onshore,Oil Prod Vol (bbl),7361064
03/01/2006,Native American,Onshore,Coal Prod Vol (tons),2559734
03/01/2006,Native American,Onshore,Oil Prod Vol (bbl),926993
03/01/2006,Native American,Onshore,Gas Prod Vol (mcf),28416166
