Production Date,Land Class,Land Category,Commodity,Volume
12/01/2015,Federal,Onshore,Gas Prod Vol (mcf),"284,957,187"
12/01/2015,Federal,Onshore,Oil Prod Vol (bbl),"14,277,429"
12/01/2015,Native American,Onshore,Coal Prod Vol (ton),"1,228,030"
12/01/2015,Native American,Onshore,Gas Prod Vol (mcf),"27,484,076"
12/01/2015,Native American,Onshore,Oil Prod Vol (bbl),"5,352,650"
01/01/2016,Federal,Offshore,Gas Prod Vol (mcf),"109,568,272"
01/01/2016,Federal,Offshore,Oil Prod Vol (bbl),"50,020,253"
01/01/2016,Federal,Onshore,Coal Prod Vol (ton),"22,385,252"
01/01/2016,Federal,Onshore,Gas Prod Vol (mcf),"279,295,052"
01/01/2016,Federal,Onshore,Oil Prod Vol (bbl),"14,382,283"
01/01/2016,Native American,Onshore,Coal Prod Vol (ton),"1,216,479"
01/01/2016,Native American,Onshore,Gas Prod Vol (mcf),"27,400,590"
01/01/2016,Native American,Onshore,Oil Prod Vol (bbl),"5,234,254"
02/01/2016,Federal,Offshore,Gas Prod Vol (mcf),"101,488,595"
02/01/2016,Federal,Offshore,Oil Prod Vol (bbl),"45,501,444"
02/01/2016,Federal,Onshore,Coal Prod Vol (ton),"21,437,741"
02/01/2016,Federal,Onshore,Gas Prod Vol (mcf),"263,273,480"
02/01/2016,Federal,Onshore,Oil Prod Vol (bbl),"13,861,369"
02/01/2016,Native American,Onshore,Coal Prod Vol (ton),"1,100,191"
02/01/2016,Native American,Onshore,Gas Prod Vol (mcf),"25,695,927"
02/01/2016,Native American,Onshore,Oil Prod Vol (bbl),"4,804,903"
03/01/2016,Federal,Offshore,Gas Prod Vol (mcf),"111,857,668"
03/01/2016,Federal,Offshore,Oil Prod Vol (bbl),"50,565,057"
03/01/2016,Federal,Onshore,Coal Prod Vol (ton),"20,238,449"
03/01/2016,Federal,Onshore,Gas Prod Vol (mcf),"284,618,566"
03/01/2016,Federal,Onshore,Oil Prod Vol (bbl),"14,807,100"
03/01/2016,Native American,Onshore,Coal Prod Vol (ton),"1,349,184"
03/01/2016,Native American,Onshore,Gas Prod Vol (mcf),"27,640,681"
03/01/2016,Native American,Onshore,Oil Prod Vol (bbl),"5,350,330"
04/01/2016,Federal,Offshore,Gas Prod Vol (mcf),"102,054,082"
04/01/2016,Federal,Offshore,Oil Prod Vol (bbl),"47,768,910"
04/01/2016,Federal,Onshore,Coal Prod Vol (ton),"18,209,082"
04/01/2016,Federal,Onshore,Gas Prod Vol (mcf),"271,710,385"
04/01/2016,Federal,Onshore,Oil Prod Vol (bbl),"14,007,389"
04/01/2016,Native American,Onshore,Coal Prod Vol (ton),"701,080"
04/01/2016,Native American,Onshore,Gas Prod Vol (mcf),"26,358,603"
04/01/2016,Native American,Onshore,Oil Prod Vol (bbl),"4,919,634"
05/01/2016,Federal,Offshore,Gas Prod Vol (mcf),"111,068,152"
05/01/2016,Federal,Offshore,Oil Prod Vol (bbl),"50,008,267"
05/01/2016,Federal,Onshore,Coal Prod Vol (ton),"17,466,152"
05/01/2016,Federal,Onshore,Gas Prod Vol (mcf),"273,624,061"
05/01/2016,Federal,Onshore,Oil Prod Vol (bbl),"14,166,498"
05/01/2016,Native American,Onshore,Coal Prod Vol (ton),"1,022,304"
05/01/2016,Native American,Onshore,Gas Prod Vol (mcf),"26,822,681"
05/01/2016,Native American,Onshore,Oil Prod Vol (bbl),"4,821,467"
06/01/2016,Federal,Offshore,Gas Prod Vol (mcf),"97,958,674"
06/01/2016,Federal,Offshore,Oil Prod Vol (bbl),"47,084,486"
06/01/2016,Federal,Onshore,Coal Prod Vol (ton),"24,182,132"
06/01/2016,Federal,Onshore,Gas Prod Vol (mcf),"268,021,872"
06/01/2016,Federal,Onshore,Oil Prod Vol (bbl),"13,591,471"
06/01/2016,Native American,Onshore,Coal Prod Vol (ton),"956,567"
06/01/2016,Native American,Onshore,Gas Prod Vol (mcf),"25,439,434"
06/01/2016,Native American,Onshore,Oil Prod Vol (bbl),"4,614,881"
07/01/2016,Federal,Offshore,Gas Prod Vol (mcf),"103,309,659"
07/01/2016,Federal,Offshore,Oil Prod Vol (bbl),"49,158,798"
07/01/2016,Federal,Onshore,Coal Prod Vol (ton),"23,325,633"
07/01/2016,Federal,Onshore,Gas Prod Vol (mcf),"262,486,735"
07/01/2016,Federal,Onshore,Oil Prod Vol (bbl),"14,096,452"
07/01/2016,Native American,Onshore,Coal Prod Vol (ton),"976,850"
