Calendar Year,Corporate Name,Revenue Type,Commodity,Revenues
2013,AU MINES INC,BLM - Permit Fees,Locatable Minerals,216205
2013,AUGUSTUS ENERGY PARTNERS LLC,ONRR - Other Revenues,Oil & Gas,3603.68
2013,AUGUSTUS ENERGY PARTNERS LLC,ONRR - Royalties,Gas,470732.71
2013,AUGUSTUS ENERGY PARTNERS LLC,ONRR - Royalties,Oil,2464.36
2013,AUGUSTUS ENERGY PARTNERS LLC,ONRR/BLM - Rents,Oil & Gas,19334.5
2013,AU-REKA GOLD CORP,BLM - Permit Fees,Locatable Minerals,976584
2013,AURION RESOURCES US LLC,BLM - Permit Fees,Locatable Minerals,155872
2013,AVALANCHE ENERGY INC,BLM - Permit Fees,Oil & Gas,300
2013,AVALANCHE ENERGY INC,ONRR/BLM - Bonus,Oil & Gas,794960
2013,AVALANCHE ENERGY INC,ONRR/BLM - Rents,Oil & Gas,3339
2013,AXIA ENERGY LLC,BLM - Permit Fees,Oil & Gas,175925
2013,AXIA ENERGY LLC,ONRR - Other Revenues,Oil & Gas,21262.05
2013,AXIA ENERGY LLC,ONRR - Royalties,Gas,135688.02
2013,AXIA ENERGY LLC,ONRR - Royalties,Oil,1655367.8
2013,AXIA ENERGY LLC,ONRR/BLM - Rents,Oil & Gas,16944
2013,B & N COAL INC,OSMRE - AML Fees including Audits and Late Charges ,Coal,129512.68
2013,B & R TRUCKING,BLM - Permit Fees,Mineral Materials,153570
2013,B & W RESOURCES INC,OSMRE - AML Fees including Audits and Late Charges ,Coal,226816.25
2013,B C OPERATING INC,ONRR - Other Revenues,Oil & Gas,7059.06
2013,B C OPERATING INC,ONRR - Royalties,Gas,51654.56
2013,B C OPERATING INC,ONRR - Royalties,Oil,150235.19
2013,B C OPERATING INC,ONRR/BLM - Rents,Oil & Gas,2000
2013,BADGER OIL CORP,ONRR - Inspection Fees,Oil & Gas,17000
2013,BADGER OIL CORP,ONRR - Other Revenues,Oil & Gas,-1435.27
2013,BADGER OIL CORP,ONRR - Royalties,Gas,-3882.87
2013,BADGER OIL CORP,ONRR - Royalties,Oil,401583.07
2013,BALLARD PETROLEUM HOLDINGS LLC,BLM - Permit Fees,Oil & Gas,40495
2013,BALLARD PETROLEUM HOLDINGS LLC,ONRR - Other Revenues,Oil & Gas,6138.08
2013,BALLARD PETROLEUM HOLDINGS LLC,ONRR - Royalties,Gas,91910.03
2013,BALLARD PETROLEUM HOLDINGS LLC,ONRR - Royalties,Oil,4845688.28
2013,BALLARD PETROLEUM HOLDINGS LLC,ONRR/BLM - Bonus,Oil & Gas,9568
2013,BALLARD PETROLEUM HOLDINGS LLC,ONRR/BLM - Rents,Oil & Gas,20736.5
2013,BARNES LAND & ENERGY CO,BLM - Permit Fees,Oil & Gas,150
2013,BARNES LAND & ENERGY CO,ONRR/BLM - Bonus,Oil & Gas,295145
2013,BARNES LAND & ENERGY CO,ONRR/BLM - Rents,Oil & Gas,50730
2013,BARRICK GOLD CORP,BLM - Permit Fees,Geothermal,380
2013,BARRICK GOLD CORP,BLM - Permit Fees,Locatable Minerals,2712007.07
2013,BARRICK GOLD CORP,BLM - Permit Fees,Mineral Materials,650
2013,BARTON ROY G JR,ONRR/BLM - Bonus,Oil & Gas,17050
2013,BARTON ROY G JR,ONRR/BLM - Rents,Geothermal,6300
2013,BARTON ROY G JR,ONRR/BLM - Rents,Oil & Gas,156336.5
2013,BAYTEX ENERGY USA LTD,BLM - Permit Fees,Oil & Gas,13150
2013,BAYTEX ENERGY USA LTD,ONRR - Other Revenues,Oil & Gas,3179.25
2013,BAYTEX ENERGY USA LTD,ONRR - Royalties,Gas,172.88
2013,BAYTEX ENERGY USA LTD,ONRR - Royalties,Oil,217009.49
2013,BAYTEX ENERGY USA LTD,ONRR/BLM - Bonus,Oil & Gas,209000
2013,BAYTEX ENERGY USA LTD,ONRR/BLM - Rents,Oil & Gas,4602
2013,BEAR BRANCH COAL CO,OSMRE - AML Fees including Audits and Late Charges ,Coal,128413.21
2013,BEARCAT ENERGY LLC,ONRR - Other Revenues,Oil & Gas,3367.27
2013,BEARCAT ENERGY LLC,ONRR - Royalties,Gas,322682.99
2013,BEARTOOTH OIL & GAS CO,BLM - Permit Fees,Oil & Gas,785
2013,BEARTOOTH OIL & GAS CO,ONRR - Other Revenues,Oil & Gas,2515.97
2013,BEARTOOTH OIL & GAS CO,ONRR - Royalties,Gas,211251.41
2013,BEARTOOTH OIL & GAS CO,ONRR - Royalties,Oil,30406.09
2013,BEARTOOTH OIL & GAS CO,ONRR/BLM - Rents,Oil & Gas,13008
