original_name,new_name
ROBERT L BAYLESS PRODUCER,ROBERT L BAYLESS PRODUCER LLC
RODDY PRODUCTION CO INC,RODDY PRODUCTION CO LLC
ROOSTER OIL & GAS,ROOSTER OIL AND GAS
SAMSON OIL & GAS LTD,SAMSON OIL AND GAS LTD
SAMSON RESOURCES CO,SAMSON OIL AND GAS LTD
SAMSON RESOURCES II LLC,SAMSON OIL AND GAS LTD
SAMSUNG C&T AMERICA INC,SAMSUNG C AND T AMERICA INC
SCOUT ENERGY MANAGEMENT LLC,SCOUT ENERGY PARTNERS
SENECA RESOURCES COMPANY LLC,SENECA RESOURCES CORP
SENTINEL PEAK RESOURCES CALIFORNIA LLC,SENTINEL PEAK RESOURCES LLC
SG INTERESTS LTD,SG INTERESTS I LTD
SHELL,SHELL PLC
SILVERBACK OPERATING II LLC,SILVERBACK EXPLORATION LLC
SINCLAIR,SINCLAIR OIL AND GAS CO
SINCLAIR OIL CORP,SINCLAIR OIL AND GAS CO
SLAWSON COMPANIES INC,SLAWSON COMPANIES
SLAWSON EXPLORATION CO INC,SLAWSON EXPLORATION CO
SMC OIL AND GAS,SMC CORP OF AMERICA
SMITH & MARRS INC,SMITH AND MARRS INC
SND OPERATING LLC,SND ENERGY CO INC
SNOW OIL & GAS INC,SNOW OIL AND GAS INC
SPIRE STORAGE LLC,SPIRE INC
SPIRE STORAGE WEST LLC,SPIRE INC
STEPHENS & JOHNSON OPERATING CO,STEPHENS AND JOHNSON OPERATING
STONE ENERGY,STONE ENERGY CORP
STROUD EXPLORATION INC,STROUD EXPLORATION CO LLC
SUMMIT ENERGY LLC,SUMMIT RESOURCES
SUMMIT GAS RESOURCES INC,SUMMIT RESOURCES
SUMMIT OPERATING LLC,SUMMIT RESOURCES
SYNERGY OPERATING LLC,SYNERGY OFFSHORE LLC
TALOS ENERGY LLC,TALOS ENERGY INC
TAMMANY OIL & GAS LLC,TAMMANY OIL AND GAS LLC
TAQA INTERNATIONAL HOLDINGS COOPERATIEF UA,ABU DHABI NATIONAL ENERGY CO PJSC
TAQA NORTH USA INC,ABU DHABI NATIONAL ENERGY CO PJSC
TATA CHEMICALS,TATA GROUP
TATA CHEMICALS LTD,TATA GROUP
TATA CHEMICALS PARTNERS,TATA GROUP
TC ENERGY,TC ENERGY CORP
TELLURIAN OPERATING LLC,TELLURIAN INC
TERRA ENERGY PARTNERS,TERRA ENERGY PARTNERS LLC
TERRA-GEN POWER LLC,TERRA-GEN HOLDINGS II LLC
TEXAS PETROLEUM INVESTMENT CO,TEXAS PETROLUEM INVESTMENT CO
TEXON L P,TEXON LP
THE MOSAIC COMPANY,THE MOSAIC CO
TITUS OIL & GAS LLC,TITUS OIL AND GAS LLC
TOTAL E&P USA INC,TOTAL E AND P USA INC
TOTAL ENERGIES RENEWABLES USA LLC,TOTAL ENERGIES
TRUE COMPANIES,TRUE COMPANIES INC
TRUE OIL,TRUE OIL LLC
TURKIYE SISE VE CAM FABRIKALARI A.S.,TURKIYE SISE VE CAM FABRIKALARI AS
TWIN EAGLE CRUDE & LEASEHOLD GATHERING,TWIN EAGLE CRUDE AND LEASEHOLD GATHERING
ULTRA PETROLEUM,ULTRA PETROLEUM CORP
UNIT PETROLEUM CO,UNIT CORP
URBAN OIL AND GAS LLC,URBAN ENERGY PARTNERS
VANGUARD NATURAL RESOURCES LLC,VANGUARD NATURAL RESOURCES INC
VAQUERO ENERGY,VAQUERO BIG HORN
VAQUERO UINITA LLC,VAQUERO UNITA LLC
VENOCO INC,VENOCO LLC
VENTURE OIL & GAS INC,VENTURE OIL AND GAS INC
VERMILION ENERGY USA,VERMILION ENERGY INC
VERMILION ENERGY USA LLC,VERMILION ENERGY INC
W & T OFFSHORE INC,W AND T OFFSHORE INC
W AND T OFFSHORE,W AND T OFFSHORE INC
W&T OFFSHORE INC,W AND T OFFSHORE INC
WALDORF PRODUCTIONS US LLC,WALDORF ENERGY NETHERLANDS BV
WALTER OIL & GAS CORP,WALTER OIL AND GAS CORP
WAMSUTTER E&P LLC,WAMSUTTER E AND P LLC
WAMSUTTER GAS PARTNERS LLC,WAMSUTTER E AND P LLC
WAPITI OPERATING LLC,WAPITI ENERGY
WEATHERLY OIL & GAS LLC,WEATHERLY OIL AND GAS LLC
WESTERN FUELS,WESTERN FUELS ASSOCIATION INC
WESTERN MINERALS & OIL LLC,WESTERN MINERALS AND OIL LLC
WESTMORELAND COAL CO,WESTMORELAND MINING LLC
WHITE ROCK OIL & GAS,WHITE ROCK OIL AND GAS LLC
WHITE ROCK OIL & GAS LLC,WHITE ROCK OIL AND GAS LLC
WHITE ROCK OIL AND GAS,WHITE ROCK OIL AND GAS LLC
WHITING OIL AND GAS CORP,WHITING PETROLEUM CORP
WHITNEY OIL & GAS LLC,WHITNEY OIL AND GAS LLC
WOLD OIL PROPERTIES INC,WOLD OIL PROPERTIES LLC
WOLVERINE GAS & OIL CORP,WOLVERINE GAS AND OIL CORP
ZDS-MAR OIL & GAS CORP,ZDS-MAR OIL AND GAS CORP
ZAVANNA ENERGY OPERATING LLC,ZAVANNA RESOURCES LLC
ZAVANNA LLC,ZAVANNA RESOURCES LLC
